id,Model,Manufacturer_id,Price,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
1,Integra,1,"21,500 ",1.8,225,101.2,67.3,172.4,2.6,13.2,28,91.4
2,TL,1,"28,400 ",3.2,225,108.1,70.3,192.9,3.5,17.2,25,0.0
3,CL,1,0 ,3.2,210,106.9,70.6,192.0,3.5,17.2,26,91.4
4,RL,1,"42,000 ",3.5,150,114.6,71.4,196.6,3.9,18.0,22,62.8
5,A4,2,"23,990 ",1.8,200,102.6,68.2,178.0,3.0,16.4,27,84.6
6,A6,2,"33,950 ",2.8,310,108.7,76.1,192.0,3.6,18.5,22,134.7
7,A8,2,"62,000 ",4.2,170,113.0,74.0,198.2,3.9,23.7,21,71.2
8,323i,3,"26,990 ",2.5,193,107.3,68.4,176.0,3.2,16.6,26,81.9
9,328i,3,"33,400 ",2.8,193,107.3,68.5,176.0,3.2,16.6,24,84.0
10,528i,3,"38,900 ",2.8,175,111.4,70.9,188.0,3.5,18.5,25,71.2
11,Century,4,"21,975 ",3.1,240,109.0,72.7,194.6,3.4,17.5,25,95.6
12,Regal,4,"25,300 ",3.8,205,109.0,72.7,196.2,3.5,17.5,23,85.8
13,Park Avenue,4,"31,965 ",3.8,205,113.8,74.7,206.8,3.8,18.5,24,84.3
14,LeSabre,4,"27,885 ",3.8,275,112.2,73.5,200.0,3.6,17.5,25,113.9
15,DeVille,5,"39,895 ",4.6,275,115.3,74.5,207.2,4.0,18.5,22,115.6
16,Seville,5,"44,475 ",4.6,275,112.2,75.0,201.0,,18.5,22,113.8
17,Eldorado,5,"39,665 ",4.6,200,108.0,75.5,200.6,3.8,19.0,22,83.5
18,Catera,5,"31,010 ",3.0,255,107.4,70.3,194.8,3.8,18.0,22,109.5
19,Escalade,5,"46,225 ",5.7,115,117.5,77.0,201.2,5.6,30.0,15,46.4
20,Cavalier,6,"13,260 ",2.2,170,104.1,67.9,180.9,2.7,14.3,27,67.3
21,Malibu,6,"16,535 ",3.1,175,107.0,69.4,190.4,3.1,15.0,25,70.0
22,Lumina,6,"18,890 ",3.1,180,107.5,72.5,200.9,3.3,16.6,25,72.0
23,Monte Carlo,6,"19,390 ",3.4,200,110.5,72.7,197.9,3.3,17.0,27,81.1
24,Camaro,6,"24,340 ",3.8,345,101.1,74.1,193.2,3.5,16.8,25,141.1
25,Corvette,6,"45,705 ",5.7,120,104.5,73.6,179.7,3.2,19.1,22,48.3
26,Prizm,6,"13,960 ",1.8,55,97.1,66.7,174.3,2.4,13.2,33,23.3
27,Metro,6,"9,235 ",1.0,180,93.1,62.6,149.4,1.9,10.3,45,71.8
28,Impala,6,"18,890 ",3.4,163,110.5,73.0,200.0,3.4,17.0,27,66.0
29,Sebring Coupe,7,"19,840 ",2.5,168,103.7,69.7,190.9,3.0,15.9,24,69.5
30,Sebring Conv.,7,"24,495 ",2.5,200,106.0,69.2,193.0,3.3,16.0,24,80.0
31,Concorde,7,"22,245 ",2.7,132,113.0,74.4,209.1,3.5,17.0,26,53.6
32,Cirrus,7,"16,480 ",2.0,253,108.0,71.0,186.0,2.9,16.0,27,101.3
33,LHS,7,"28,340 ",3.5,,113.0,74.4,207.7,3.6,17.0,23,0.0
34,Town & Country,7,"9,745 ",,253,,,,,,,101.7
35,300M,7,"29,185 ",3.5,132,113.0,74.4,197.8,3.6,17.0,23,52.1
36,Neon,8,"12,640 ",2,163,105.0,74.4,174.4,2.6,12.5,29,65.7
37,Avenger,8,"19,045 ",2.5,168,103.7,69.1,190.2,2.9,15.9,24,67.9
38,Stratus,8,"20,230 ",2.5,202,108.0,71.0,186.0,3.1,16.0,24,80.8
39,Intrepid,8,"22,505 ",2.7,450,113.0,74.7,203.7,3.5,17.0,,188.1
