order id,Manufacturer_id,model_id,Vehicle_type id,Sales,Launch Date
1,1,1,1,"16,919 ",2012-02-02
2,1,2,1,"39,384 ",2011-06-03
3,1,3,1,"14,114 ",2012-01-04
4,1,4,1,"8,588 ",2011-03-10
5,2,5,1,"20,397 ",2011-10-08
6,2,6,1,"18,780 ",2011-08-09
7,2,7,1,"1,380 ",2012-02-27
8,3,8,1,"19,747 ",2011-06-28
9,3,9,1,"9,231 ",2012-01-29
10,3,10,1,"17,527 ",2011-04-04
11,4,11,1,"91,561 ",2011-11-02
12,4,12,1,"39,350 ",2011-09-03
13,4,13,1,"27,851 ",2012-03-23
14,4,14,1,"83,257 ",2011-07-23
15,5,15,1,"63,729 ",2012-02-23
16,5,16,1,"15,943 ",2011-04-29
17,5,17,1,"6,536 ",2011-11-27
18,5,18,1,"11,185 ",2011-09-28
19,5,19,2,"14,785 ",2012-04-17
20,6,20,1,"145,519 ",2011-08-17
21,6,21,1,"135,126 ",2012-03-19
22,6,22,1,"24,629 ",2011-05-24
23,6,23,1,"42,593 ",2011-12-22
24,6,24,1,"26,402 ",2011-10-23
25,6,25,1,"17,947 ",2012-05-12
26,6,26,1,"32,299 ",2011-09-11
27,6,27,1,"21,855 ",2012-04-13
28,6,28,1,"107,995 ",2011-06-18
29,7,29,1,"7,854 ",2012-01-16
30,7,30,1,"32,775 ",2011-11-17
31,7,31,1,"31,148 ",2012-06-06
32,7,32,1,"32,306 ",2011-10-06
33,7,33,1,"13,462 ",2012-05-08
34,7,34,2,"53,480 ",2011-07-13
35,7,35,1,"30,696 ",2012-02-10
36,8,36,1,"76,034 ",2011-12-12
37,8,37,1,"4,734 ",2012-07-01
38,8,38,1,"71,186 ",2011-10-31
39,8,39,1,"88,028 ",2012-06-02
40,8,40,1,916 ,2011-08-07
41,8,41,2,"227,061 ",2012-03-06
42,8,42,2,"16,767 ",2012-01-06
43,8,43,2,"31,038 ",2012-07-26
44,8,44,2,"111,313 ",2011-11-25
45,8,45,2,"101,323 ",2012-06-27
46,8,46,2,"181,749 ",2011-09-01
47,9,47,1,"70,227 ",2012-03-31
48,9,48,1,"113,369 ",2012-01-31
49,9,49,1,"35,068 ",2012-08-20
50,9,50,1,"245,815 ",2011-12-20
51,9,51,1,"175,670 ",2012-07-22
52,9,52,1,"63,403 ",2011-09-26
53,9,53,2,"276,747 ",2012-04-25
54,9,54,2,"155,787 ",2012-02-25
55,9,55,2,"125,338 ",2012-09-14
56,9,56,2,"220,650 ",2012-01-14
57,9,57,2,"540,561 ",2012-08-16
58,10,58,1,"199,685 ",2011-10-21
59,10,59,1,"230,902 ",2012-05-20
60,10,60,2,"73,203 ",2012-03-21
61,10,61,2,"12,855 ",2012-10-09
62,10,62,2,"76,029 ",2012-02-08
63,11,63,1,"41,184 ",2012-09-10
64,11,64,1,"66,692 ",2011-11-15
65,11,65,1,"29,450 ",2012-06-14
66,12,66,1,"23,713 ",2012-04-15
67,13,67,1,"15,467 ",2012-11-03
68,14,68,2,"55,557 ",2012-03-04
69,14,69,2,"80,556 ",2012-10-05
70,14,70,2,"157,040 ",2011-12-10
71,15,71,1,"24,072 ",2012-07-09
72,15,72,1,"12,698 ",2012-05-10
73,15,73,1,"3,334 ",2012-11-28
74,15,74,1,"6,375 ",2012-03-29
75,15,75,2,"9,126 ",2012-10-30
76,15,76,2,"51,238 ",2012-01-04
77,16,77,1,"13,798 ",2012-08-03
78,16,78,1,"48,911 ",2012-06-04
79,16,79,2,"22,925 ",2012-12-23
80,17,80,1,"26,232 ",2012-04-23
81,17,81,1,"42,541 ",2012-11-24
82,17,82,1,"55,616 ",2012-01-29
83,17,83,1,"5,711 ",2012-08-28
84,17,84,1,110 ,2012-06-29
85,17,85,2,"11,337 ",2012-01-17
86,17,86,2,"39,348 ",2012-05-18
87,18,87,1,"14,351 ",2012-12-19
88,18,88,1,"26,529 ",2012-02-23
89,18,89,1,"67,956 ",2012-09-22
90,18,90,1,"81,174 ",2012-07-24
91,18,91,2,"27,609 ",2008-02-13
92,18,92,2,"20,380 ",2009-10-20
93,19,93,1,"18,392 ",2011-04-24
94,19,94,1,"27,602 ",2011-07-12
95,19,95,1,"16,774 ",2011-06-13
96,19,96,1,"3,311 ",2011-03-17
97,19,97,1,"7,998 ",2011-01-16
98,19,98,1,"1,526 ",2011-08-06
99,19,99,1,"11,592 ",2011-07-08
100,19,100,1,954 ,2011-04-11
101,19,101,2,"28,976 ",2011-02-10
102,20,102,1,"42,643 ",2011-08-31
103,20,103,1,"88,094 ",2011-08-02
104,20,104,1,"79,853 ",2011-05-06
105,20,105,2,"27,308 ",2011-03-07
106,20,106,2,"42,574 ",2011-09-25
107,20,107,2,"54,158 ",2011-01-24
108,20,108,2,"65,005 ",2011-08-27
109,21,109,1,"1,112 ",2011-05-31
110,21,110,1,"38,554 ",2011-04-01
111,21,111,1,"80,255 ",2009-10-20
112,21,112,1,"14,690 ",2011-02-18
113,21,113,2,"20,017 ",2011-09-21
114,21,114,2,"24,361 ",2011-06-25
115,22,36,1,"32,734 ",2011-04-26
116,22,115,1,"5,240 ",2011-11-14
117,22,116,2,"24,155 ",2011-04-24
118,22,117,1,"1,872 ",2012-06-27
119,23,118,1,"51,645 ",2012-01-25
120,23,119,1,"131,097 ",2012-11-26
121,23,120,1,"19,911 ",2012-06-16
122,23,121,1,"92,364 ",2012-10-15
123,23,122,1,"35,945 ",2011-05-18
124,23,123,2,"39,572 ",2012-07-22
125,24,124,1,"8,982 ",2012-02-19
126,24,125,1,"1,280 ",2012-12-21
127,24,126,1,"1,866 ",2011-07-11
128,25,127,1,"9,191 ",2012-11-09
129,25,128,1,"12,115 ",2011-06-12
130,26,129,1,"80,620 ",2012-08-16
131,26,130,1,"24,546 ",2011-03-16
132,26,131,1,"5,223 ",2011-01-15
133,26,132,1,"8,472 ",2011-08-05
